sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves
198710,J. Rodríguez,James David Rodríguez Rubio,22,12/07/1991,180,75,Colombia,Real Madrid,86,92,0,0,Left,4,3,4
190871,Neymar,Neymar da Silva Santos Junior,22,05/02/1992,175,64,Brazil,FC Barcelona,86,91,0,0,Right,5,5,5
192119,T. Courtois,Thibaut Courtois,22,11/05/1992,199,88,Belgium,Chelsea,86,90,0,0,Left,3,3,1
178603,M. Hummels,Mats  Hummels,25,16/12/1988,192,90,Germany,Borussia Dortmund,86,88,0,0,Right,4,3,2
183898,A. Di María,Ángel Fabián Di María Hernández,26,14/02/1988,180,70,Argentina,Manchester United,86,88,0,0,Left,4,2,4
188350,M. Reus,Marco Reus,25,31/05/1989,181,73,Germany,Borussia Dortmund,86,88,0,0,Right,3,4,4
189596,T. Müller,Thomas Müller,24,13/09/1989,186,75,Germany,FC Bayern München,86,88,0,0,Right,4,4,3
153079,S. Agüero,Sergio Leonel Agüero del Castillo,26,02/06/1988,172,74,Argentina,Manchester City,86,87,0,0,Right,4,4,4
176635,M. Özil,Mesut Özil,25,15/10/1988,183,76,Germany,Arsenal,86,87,0,0,Left,3,2,4
10535,Xavi,Xavier Hernández Creus,34,25/01/1980,170,68,Spain,FC Barcelona,86,86,0,0,Right,4,3,3
20289,Y. Touré,Gnégnéri Yaya Touré,31,13/05/1983,189,90,Ivory Coast,Manchester City,86,86,0,0,Right,4,4,3
54050,W. Rooney,Wayne Mark Rooney,28,24/10/1985,176,83,England,Manchester United,86,86,0,0,Right,4,4,3
139720,V. Kompany,Vincent Kompany,28,10/04/1986,192,85,Belgium,Manchester City,86,86,0,0,Right,4,3,2
192318,M. Götze,Mario Götze,22,03/06/1992,176,72,Germany,FC Bayern München,85,91,0,0,Right,3,4,4
189511,Sergio Busquets,Sergio Busquets i Burgos,25,16/07/1988,189,73,Spain,FC Barcelona,85,89,0,0,Right,4,3,3
182521,T. Kroos,Toni Kroos,24,04/01/1990,182,78,Germany,Real Madrid,85,88,0,0,Right,4,5,3
165153,K. Benzema,Karim Benzema,26,19/12/1987,184,79,France,Real Madrid,85,87,0,0,Right,4,4,4
179813,E. Cavani,Edinson Roberto Cavani Gómez,27,14/02/1987,184,71,Uruguay,Paris Saint-Germain,85,87,0,0,Right,4,3,3
179844,Diego Costa,Diego da Silva Costa,25,07/10/1988,188,81,Spain,Chelsea,85,87,0,0,Right,3,4,3
181872,A. Vidal,Arturo Vidal,27,22/05/1987,180,75,Chile,Juventus,85,87,0,0,Right,4,4,3
167948,H. Lloris,Hugo Lloris,27,26/12/1986,188,78,France,Tottenham Hotspur,85,86,0,0,Left,3,1,1
177610,Javi Martinez,Javier Martínez Aginaga,25,02/09/1988,190,81,Spain,FC Bayern München,85,86,0,0,Right,3,3,2
178088,Juan Mata,Juan Manuel Mata García,26,28/04/1988,174,63,Spain,Manchester United,85,86,0,0,Left,3,3,4
183907,J. Boateng,Jérôme Boateng,25,03/09/1988,192,90,Germany,FC Bayern München,85,86,0,0,Right,4,4,3
48940,P. Čech,Petr Čech,32,20/05/1982,196,90,Czech Republic,Chelsea,85,85,0,0,Left,4,3,1
143001,C. Tévez,Carlos Alberto Tevez,30,05/02/1984,173,75,Argentina,Juventus,85,85,0,0,Right,3,3,3
152729,Piqué,Gerard Piqué Bernabéu,27,02/02/1987,192,85,Spain,FC Barcelona,84,89,0,0,Right,4,3,2
143745,A. Turan,Arda Turan,27,30/01/1987,177,76,Turkey,Atlético Madrid,84,88,0,0,Right,3,4,4
184941,A. Sánchez,Alexis Alejandro Sánchez Sánchez,25,19/12/1988,171,62,Chile,Arsenal,84,88,0,0,Right,3,3,4
188152,Oscar,Oscar dos Santos Emboaba Júnior,22,09/09/1991,179,67,Brazil,Chelsea,84,87,0,0,Right,3,3,4
165239,S. Nasri,Samir Nasri,27,26/06/1987,175,75,France,Manchester City,84,86,0,0,Right,3,4,4
177509,M. Benatia,Medhi Amine El Mouttaqi Benatia,27,17/04/1987,188,88,Morocco,FC Bayern München,84,86,0,0,Right,2,3,2
179846,S. Khedira,Sami Khedira,27,04/04/1987,189,85,Germany,Real Madrid,84,86,0,0,Right,3,4,2
167664,G. Higuaín,Gonzalo Gerardo Higuaín,26,10/12/1987,184,82,Argentina,Napoli,84,85,0,0,Right,3,4,3
168435,S. Sirigu,Salvatore Sirigu,27,12/01/1987,192,80,Italy,Paris Saint-Germain,84,85,0,0,Right,3,2,1
5479,Casillas,Iker Casillas Fernández,33,20/05/1981,185,84,Spain,Real Madrid,84,84,0,0,Left,4,2,1
7763,A. Pirlo,Andrea Pirlo,35,19/05/1979,177,68,Italy,Juventus,84,84,0,0,Right,4,4,2
45197,Xabi Alonso,Xabier Alonso Olano,32,25/11/1981,183,77,Spain,FC Bayern München,84,84,0,0,Right,4,4,2
53302,D. De Rossi,Daniele De Rossi,30,24/07/1983,185,83,Italy,Roma,84,84,0,0,Right,3,4,2
138956,G. Chiellini,Giorgio Chiellini,29,14/08/1984,186,76,Italy,Juventus,84,84,0,0,Left,3,2,2
139869,W. Sneijder,Wesley Sneijder,30,09/06/1984,170,67,Netherlands,Galatasaray SK,84,84,0,0,Right,3,5,3
146562,Santi Cazorla,Santiago Cazorla González,29,13/12/1984,168,66,Spain,Arsenal,84,84,0,0,Right,3,5,4
148803,K. Huntelaar,Klaas-Jan Huntelaar,30,12/08/1983,186,83,Netherlands,FC Schalke 04,84,84,0,0,Right,3,4,3
162895,Cesc Fàbregas,Francesc Fàbregas i Soler,27,04/05/1987,179,85,Spain,Chelsea,84,84,0,0,Right,3,3,3
182493,D. Godín,Diego Godín,28,16/02/1986,186,78,Uruguay,Atlético Madrid,84,84,0,0,Right,3,3,2
195864,P. Pogba,Paul Pogba,21,15/03/1993,188,80,France,Juventus,83,89,0,0,Right,3,4,4
197781,Isco,Francisco Román Alarcón Suárez,22,21/04/1992,176,74,Spain,Real Madrid,83,88,0,0,Right,2,3,3
186942,I. Gündoğan,İlkay Gündoğan,23,24/10/1990,180,79,Germany,Borussia Dortmund,83,87,0,0,Right,3,4,4
193080,De Gea,David De Gea Quintana,23,07/11/1990,193,82,Spain,Manchester United,83,87,0,0,Right,3,3,1
193082,J. Cuadrado,Juan Cuadrado,26,26/05/1988,176,66,Colombia,Fiorentina,83,87,0,0,Right,3,3,5
171833,D. Sturridge,Daniel Andre Sturridge,24,01/09/1989,183,76,England,Liverpool,83,86,0,0,Left,3,2,4
180206,M. Pjanić,Miralem Pjanić,24,02/04/1990,180,74,Bosnia Herzegovina,Roma,83,86,0,0,Right,3,4,3
186561,A. Ramsey,Aaron Ramsey,23,26/12/1990,177,70,Wales,Arsenal,83,86,0,0,Right,3,3,3
189505,Pedro,Pedro Eliezer Rodríguez Ledesma,26,28/07/1987,169,64,Spain,FC Barcelona,83,86,0,0,Right,3,5,4
170481,E. Garay,Ezequiel Marcelo Garay,27,10/10/1986,188,80,Argentina,Zenit St. Petersburg,83,85,0,0,Right,3,3,2
170890,B. Matuidi,Blaise Matuidi,27,09/04/1987,175,70,France,Paris Saint-Germain,83,85,0,0,Left,3,3,2
167628,S. Ruffier,Stéphane Ruffier,27,27/09/1986,188,90,France,AS Saint-Étienne,83,84,0,0,Right,3,3,1
168651,I. Rakitić,Ivan Rakitić,26,10/03/1988,184,75,Croatia,FC Barcelona,83,84,0,0,Right,3,3,3
173221,A. Candreva,Antonio Candreva,27,28/02/1987,181,72,Italy,Lazio,83,84,0,0,Right,2,4,4
2196,R. Weidenfeller,Roman Weidenfeller,33,06/08/1980,188,85,Germany,Borussia Dortmund,83,83,0,0,Left,3,1,1
13732,J. Terry,John Terry,33,07/12/1980,187,90,England,Chelsea,83,83,0,0,Right,3,4,2
53612,P. Mertesacker,Per Mertesacker,29,29/09/1984,198,90,Germany,Arsenal,83,83,0,0,Right,3,3,2
112253,J. Toulalan,Jérémy Toulalan,30,10/09/1983,183,77,France,AS Monaco,83,83,0,0,Right,3,3,2
120533,Pepe,Képler Laveran Lima Ferreira,31,26/02/1983,188,81,Portugal,Real Madrid,83,83,0,0,Right,3,3,2
137186,A. Barzagli,Andrea Barzagli,33,08/05/1981,186,79,Italy,Juventus,83,83,0,0,Right,3,3,2
140601,N. Vidić,Nemanja Vidić,32,21/10/1981,190,88,Serbia,Inter,83,83,0,0,Right,3,3,2
142754,J. Mascherano,Javier Alejandro Mascherano,30,08/06/1984,174,74,Argentina,FC Barcelona,83,83,0,0,Right,3,3,2
146439,Negredo,Álvaro Negredo Sánchez,28,20/08/1985,186,79,Spain,Valencia CF,83,83,0,0,Left,3,3,3
146530,Dani Alves,Daniel Alves da Silva,31,06/05/1983,173,64,Brazil,FC Barcelona,83,83,0,0,Right,4,3,3
146536,Jesús Navas,Jesús Navas González,28,21/11/1985,170,60,Spain,Manchester City,83,83,0,0,Right,3,3,4
146748,Diego López,Diego López Rodríguez,32,03/11/1981,196,87,Spain,Milan,83,83,0,0,Right,3,3,1
148119,I. Akinfeev,Igor Akinfeev,28,08/04/1986,186,78,Russia,PFC CSKA Moscow,83,83,0,0,Right,3,3,1
158133,J. Farfán,Jefferson Agustín Farfán Guadalupe,29,26/10/1984,178,84,Peru,FC Schalke 04,83,83,0,0,Right,3,3,3
162347,João Moutinho,João Filipe Iria Santos Moutinho,27,08/09/1986,171,61,Portugal,AS Monaco,83,83,0,0,Right,3,4,3
162835,S. Handanovič,Samir Handanovič,29,14/07/1984,193,89,Slovenia,Inter,83,83,0,0,Right,2,2,1
168609,Miranda,João Miranda de Souza Filho,29,07/09/1984,186,76,Brazil,Atlético Madrid,83,83,0,0,Right,3,3,2
173210,C. Marchisio,Claudio Marchisio,28,19/01/1986,179,76,Italy,Juventus,83,83,0,0,Right,3,4,4
174543,C. Bravo,Claudio Andrés Bravo Muñoz,31,13/04/1983,185,84,Chile,FC Barcelona,83,83,0,0,Right,2,3,1
180930,E. Džeko,Edin Džeko,28,17/03/1986,193,84,Bosnia Herzegovina,Manchester City,83,83,0,0,Right,3,4,3
181783,M. Mandžukić,Mario Mandžukić,28,21/05/1986,187,84,Croatia,Atlético Madrid,83,83,0,0,Right,3,3,3
189358,S. Kagawa,香川 真司,25,17/03/1989,172,64,Japan,Borussia Dortmund,83,83,0,0,Right,3,4,4
189362,Hulk,Givanildo Vieira de Souza,27,25/07/1986,180,85,Brazil,Zenit St. Petersburg,83,83,0,0,Left,3,2,4
190460,C. Eriksen,Christian  Dannemann Eriksen,22,14/02/1992,177,71,Denmark,Tottenham Hotspur,82,88,0,0,Right,3,5,4
192448,M. ter Stegen,Marc-André ter Stegen,22,30/04/1992,189,82,Germany,FC Barcelona,82,88,0,0,Right,2,4,1
194765,A. Griezmann,Antoine Griezmann,23,21/03/1991,176,68,France,Atlético Madrid,82,88,0,0,Left,2,3,4
169416,C. Vela,Carlos Alberto Vela Garrido,25,01/03/1989,177,75,Mexico,Real Sociedad,82,87,0,0,Left,3,2,4
197445,D. Alaba,David Olatukunbo Alaba,22,24/06/1992,180,75,Austria,FC Bayern München,82,87,0,0,Left,3,4,3
200949,Lucas,Lucas Rodrigues M. Silva,21,13/08/1992,172,72,Brazil,Paris Saint-Germain,82,87,0,0,Right,2,3,4
171877,M. Hamšik,Marek Hamšík,26,27/07/1987,183,79,Slovakia,Napoli,82,86,0,0,Right,3,4,3
186627,M. Balotelli,Mario  Barwuah Balotelli,23,12/08/1990,188,80,Italy,Liverpool,82,86,0,0,Right,4,4,4
175943,D. Mertens,Dries Mertens,27,06/05/1987,169,61,Belgium,Napoli,82,85,0,0,Right,2,4,4
176676,Marcelo,Marcelo Vieira da Silva Júnior,26,12/05/1988,174,75,Brazil,Real Madrid,82,85,0,0,Left,3,3,3
191202,N. Matić,Nemanja Matić,25,01/08/1988,194,84,Serbia,Chelsea,82,85,0,0,Left,2,3,3
192563,B. Leno,Bernd Leno,22,04/03/1992,190,82,Germany,Bayer 04 Leverkusen,82,85,0,0,Right,2,3,1
193747,Koke,Jorge Resurrección Merodio,22,08/01/1992,178,74,Spain,Atlético Madrid,82,85,0,0,Right,2,4,3
196144,J. Martínez,Jackson Martínez,27,03/10/1986,185,85,Colombia,FC Porto,82,85,0,0,Right,2,4,4
162409,G. Rossi,Giuseppe Rossi,27,01/02/1987,173,72,Italy,Fiorentina,82,84,0,0,Left,3,3,3
172723,A. Begović,Asmir Begović,27,20/06/1987,200,83,Bosnia Herzegovina,Stoke City,82,84,0,0,Right,2,2,1
172871,J. Vertonghen,Jan Vertonghen,27,24/04/1987,189,86,Belgium,Tottenham Hotspur,82,84,0,0,Left,3,3,3
172879,Sokratis,Sokratis Papastathopoulos,26,09/06/1988,185,85,Greece,Borussia Dortmund,82,84,0,0,Right,2,3,2
179784,B. Höwedes,Benedikt Höwedes,26,29/02/1988,187,82,Germany,FC Schalke 04,82,84,0,0,Right,2,3,2
180403,Willian,Willian Borges da Silva,25,09/08/1988,175,75,Brazil,Chelsea,82,84,0,0,Right,2,4,4
183556,N. Subotić,Neven Subotić,25,10/12/1988,193,88,Serbia,Borussia Dortmund,82,84,0,0,Right,3,3,2
184144,N. Gaitán,Osvaldo Nicolás Fabián Gaitán,26,23/02/1988,173,67,Argentina,SL Benfica,82,84,0,0,Left,2,2,4
188428,S. Doumbia,Seydou Doumbia,26,31/12/1987,178,74,Ivory Coast,PFC CSKA Moscow,82,84,0,0,Right,2,4,4
150724,J. Hart,Joe Hart,27,19/04/1987,196,91,England,Manchester City,82,83,0,0,Right,3,3,1
173426,S. Mignolet,Simon Mignolet,26,06/03/1988,193,87,Belgium,Liverpool,82,83,0,0,Right,3,2,1
179944,David Luiz,David Luiz Moreira Marinho,27,22/04/1987,189,84,Brazil,Paris Saint-Germain,82,83,0,0,Right,4,3,3
185221,Luiz Gustavo,Luiz Gustavo Dias,26,23/07/1987,187,80,Brazil,VfL Wolfsburg,82,83,0,0,Left,3,3,2
1179,G. Buffon,Gianluigi Buffon,36,28/01/1978,191,83,Italy,Juventus,82,82,0,0,Right,4,2,1
13743,S. Gerrard,Steven  Gerrard,34,30/05/1980,183,83,England,Liverpool,82,82,0,0,Right,4,3,3
16254,T. Howard,Tim Howard,35,06/03/1979,191,88,United States,Everton,82,82,0,0,Right,3,3,1
20800,Danny,Daniel Miguel Alves Gomes,30,07/08/1983,178,70,Portugal,Zenit St. Petersburg,82,82,0,0,Right,2,4,4
48717,Júlio César,Júlio César Soares de Espíndola,34,03/09/1979,186,79,Brazil,SL Benfica,82,82,0,0,Left,3,3,1
49370,T. Motta,Thiago Motta,31,28/08/1982,187,83,Italy,Paris Saint-Germain,82,82,0,0,Left,3,4,3
121933,R. Adler,René Adler,29,15/01/1985,191,87,Germany,Hamburger SV,82,82,0,0,Right,2,3,1
136130,Alex,Alex Rodrigo Dias da Costa,32,17/06/1982,188,92,Brazil,Milan,82,82,0,0,Right,3,3,2
136138,Diego,Diego Ribas da Cunha,29,28/02/1985,173,73,Brazil,Fenerbahçe SK,82,82,0,0,Right,3,4,4
142784,P. Zabaleta,Pablo Javier Zabaleta Girod,29,16/01/1985,178,76,Argentina,Manchester City,82,82,0,0,Right,3,3,3
146954,Gabi,Gabriel Fernández Arenas,30,10/07/1983,180,74,Spain,Atlético Madrid,82,82,0,0,Right,3,3,2
150418,M. Gomez,Mario Gómez García,28,10/07/1985,189,88,Germany,Fiorentina,82,82,0,0,Right,3,4,2
152999,R. Palacio,Rodrigo Sebastián Palacio,32,05/02/1982,175,70,Argentina,Inter,82,82,0,0,Right,2,3,3
158625,Dante,Dante Bonfim da Costa Santos,30,18/10/1983,188,87,Brazil,FC Bayern München,82,82,0,0,Left,3,3,3
159065,E. Lavezzi,Ezequiel Iván Lavezzi,29,03/05/1985,173,75,Argentina,Paris Saint-Germain,82,82,0,0,Right,3,4,4
161956,Borja Valero,Borja Valero Iglesias,29,12/01/1985,175,73,Spain,Fiorentina,82,82,0,0,Right,2,4,3
163631,L. Baines,Leighton Baines,29,11/12/1984,170,70,England,Everton,82,82,0,0,Left,3,3,3
163705,S. Mandanda,Steve Mandanda,29,28/03/1985,185,82,France,Olympique de Marseille,82,82,0,0,Right,3,3,1
164169,Filipe Luís,Filipe Luís Kasmirski,28,09/08/1985,182,78,Brazil,Chelsea,82,82,0,0,Left,2,3,3
164994,J. Błaszczykowski,Jakub Błaszczykowski,28,14/12/1985,175,71,Poland,Borussia Dortmund,82,82,0,0,Right,3,4,3
173771,L. Piszczek,Łukasz Piszczek,29,03/06/1985,184,78,Poland,Borussia Dortmund,82,82,0,0,Right,2,3,3
180432,Hernanes,Anderson Hernanes de Carvalho Andrade,29,29/05/1985,180,76,Brazil,Inter,82,82,0,0,Right,3,5,4
182494,F. Muslera,Fernando Muslera,28,16/06/1986,190,77,Uruguay,Galatasaray SK,82,82,0,0,Right,2,2,1
209119,F. Amorebielsa,Francisco Amorebielsa,28,27/10/1985,194,83,Venezuela,Venezuela,82,82,0,0,Left,3,3,2
184881,S. Feghouli,Sofiane Feghouli,24,26/12/1989,177,71,Algeria,Valencia CF,81,88,0,0,Right,2,3,3
201535,R. Varane,Raphaël Varane,21,25/04/1993,191,78,France,Real Madrid,81,88,0,0,Right,3,3,2
212218,A. Laporte,Aymeric  Laporte,20,27/05/1994,189,85,France,Athletic Club de Bilbao,81,88,0,0,Left,2,2,2
189242,Coutinho,Philippe Coutinho Correia,22,12/06/1992,171,71,Brazil,Liverpool,81,86,0,0,Right,2,4,4
189509,Thiago,Thiago Alcântara do Nascimento,23,11/04/1991,172,70,Spain,FC Bayern München,81,86,0,0,Right,3,3,4
192985,K. De Bruyne,Kevin De Bruyne,23,28/06/1991,181,76,Belgium,VfL Wolfsburg,81,86,0,0,Right,2,5,4
164859,T. Walcott,Theo  Walcott,25,16/03/1989,176,68,England,Arsenal,81,85,0,0,Right,3,3,3
189332,Jordi Alba,Jordi Alba Ramos,25,21/03/1989,170,69,Spain,FC Barcelona,81,85,0,0,Left,3,3,3
189461,J. Wilshere,Jack Wilshere,22,01/01/1992,172,68,England,Arsenal,81,85,0,0,Left,3,3,3
189712,K. Strootman,Kevin Strootman,24,13/02/1990,186,78,Netherlands,Roma,81,85,0,0,Left,2,3,2
192883,H. Mkhitaryan,Henrikh Mkhitaryan,25,21/01/1989,178,72,Armenia,Borussia Dortmund,81,85,0,0,Right,2,5,4
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,22,02/10/1991,181,76,Brazil,TSG 1899 Hoffenheim,81,85,0,0,Right,2,3,4
170369,G. dos Santos,Giovani dos Santos Ramírez,25,11/05/1989,175,74,Mexico,Villarreal CF,81,84,0,0,Left,3,4,4
170797,N. Şahin,Nuri Şahin,25,05/09/1988,180,72,Turkey,Borussia Dortmund,81,84,0,0,Left,3,4,3
172610,Leandro Castán,Leandro Castán da Silva,27,05/11/1986,184,80,Brazil,Roma,81,84,0,0,Left,2,2,2
177457,L. Bender,Lars Bender,25,27/04/1989,184,77,Germany,Bayer 04 Leverkusen,81,84,0,0,Right,3,3,2
181820,S. Jovetić,Stevan Jovetić,24,02/11/1989,183,79,Montenegro,Manchester City,81,84,0,0,Right,2,4,4
189574,Iturraspe,Ander Iturraspe Derteano,25,08/03/1989,187,75,Spain,Athletic Club de Bilbao,81,84,0,0,Right,2,3,2
189963,W. Bony,Wilfried Guemiand Bony,25,10/12/1988,182,91,Ivory Coast,Swansea City,81,84,0,0,Right,2,4,3
193130,A. Schürrle,André Schürrle,23,06/11/1990,183,72,Germany,Chelsea,81,84,0,0,Right,3,4,4
170733,Gervinho,Gervais Lombe Yao Kouassi,27,27/05/1987,179,68,Ivory Coast,Roma,81,83,0,0,Right,3,3,3
177458,S. Bender,Sven Bender,25,27/04/1989,185,72,Germany,Borussia Dortmund,81,83,0,0,Right,2,4,2
178224,J. Hernández,Javier Hernández Balcázar,26,01/06/1988,175,71,Mexico,Real Madrid,81,83,0,0,Right,3,3,3
183285,M. Sakho,Mamadou Sakho,24,13/02/1990,187,83,France,Liverpool,81,83,0,0,Left,3,2,2
139068,Nani,Luís Carlos Almeida da Cunha,27,17/11/1986,175,66,Portugal,Sporting CP,81,82,0,0,Right,2,4,5
184943,Ramires,Ramires Santos do Nascimento,27,24/03/1987,180,70,Brazil,Chelsea,81,82,0,0,Right,3,3,3
9676,S. Eto'o,Samuel Eto'o Fils,33,10/03/1981,179,75,Cameroon,Everton,81,81,0,0,Right,3,3,4
11141,M. Klose,Miroslav Klose,36,09/06/1978,184,84,Germany,Lazio,81,81,0,0,Right,4,4,2
24630,José Reina,José Manuel  Reina Páez,31,31/08/1982,188,92,Spain,FC Bayern München,81,81,0,0,Right,2,3,1
30110,D. Berbatov,Dimitar Ivanov Berbatov,33,30/01/1981,189,75,Bulgaria,AS Monaco,81,81,0,0,Right,3,3,4
31432,D. Drogba,Didier Yves Drogba Tébily,36,11/03/1978,188,85,Ivory Coast,Chelsea,81,81,0,0,Right,3,4,3
34079,A. Cole,Ashley Cole,33,20/12/1980,176,66,England,Roma,81,81,0,0,Left,3,2,3
45574,R. van der Vaart,Rafael van der Vaart,31,11/02/1983,176,74,Netherlands,Hamburger SV,81,81,0,0,Left,3,4,3
49369,Fernando Torres,Fernando José Torres Sanz,30,20/03/1984,186,78,Spain,Milan,81,81,0,0,Right,3,4,3
53578,N. de Jong,Nigel de Jong,29,30/11/1984,174,72,Netherlands,Milan,81,81,0,0,Right,3,3,2
116494,C. Carrasso,Cédric Carrasso,32,30/12/1981,187,87,France,FC Girondins de Bordeaux,81,81,0,0,Right,3,3,1
135475,Felipe Melo,Felipe Melo de Carvalho,31,26/06/1983,183,80,Brazil,Galatasaray SK,81,81,0,0,Right,3,3,3
135507,Fernandinho,Fernando Luiz Rosa,29,04/05/1985,176,67,Brazil,Manchester City,81,81,0,0,Right,3,4,3
137262,S. Kießling,Stefan Kießling,30,25/01/1984,191,80,Germany,Bayer 04 Leverkusen,81,81,0,0,Right,2,3,2
143306,T. Zengin,Tolga Zengin,30,10/10/1983,192,90,Turkey,Beşiktaş JK,81,81,0,0,Right,1,2,1
146758,Soldado,Roberto Soldado Rillo,29,27/05/1985,179,72,Spain,Tottenham Hotspur,81,81,0,0,Right,3,3,3
148711,Luisão,Ânderson Luís da Silva,33,13/02/1981,192,81,Brazil,SL Benfica,81,81,0,0,Right,2,2,2
152039,D. Agger,Daniel Munthe Agger,29,12/12/1984,191,79,Denmark,Brøndby IF,81,81,0,0,Left,3,3,2
155897,C. Dempsey,Clint Dempsey,31,09/03/1983,185,84,United States,Seattle Sounders FC,81,81,0,0,Right,3,4,4
159287,R. Montolivo,Riccardo Montolivo,29,18/01/1985,182,79,Italy,Milan,81,81,0,0,Right,3,4,2
162131,Llorente,Fernando Javier Llorente Torres,29,26/02/1985,195,90,Spain,Juventus,81,81,0,0,Right,3,3,2
164435,M. Boussoufa,Mbark Boussoufa,29,15/08/1984,167,61,Morocco,Lokomotiv Moscow,81,81,0,0,Right,2,3,5
164468,G. Cahill,Gary Cahill,28,19/12/1985,193,86,England,Chelsea,81,81,0,0,Right,2,3,2
165229,L. Koscielny,Laurent Koscielny,28,10/09/1985,186,75,France,Arsenal,81,81,0,0,Right,3,3,2
165580,Diego Alves,Diego Alves Carreira,29,24/06/1985,188,83,Brazil,Valencia CF,81,81,0,0,Left,2,2,1
166706,M. Škrtel,Martin Škrtel,29,15/12/1984,191,81,Slovakia,Liverpool,81,81,0,0,Right,3,2,2
167943,Y. Cabaye,Yohan Cabaye,28,14/01/1986,175,72,France,Paris Saint-Germain,81,81,0,0,Right,3,4,3
177326,M. Valbuena,Mathieu Valbuena,29,28/09/1984,167,58,France,Dinamo Moscow,81,81,0,0,Right,3,3,4
178372,B. Ivanović,Branislav Ivanović,30,22/02/1984,185,91,Serbia,Chelsea,81,81,0,0,Right,3,3,2
182629,Beto,António Alberto Bastos Pimparel,32,01/05/1982,182,81,Portugal,Sevilla FC,81,81,0,0,Right,2,3,1
207664,C. Bacca,Carlos Arturo Bacca Ahumada,27,08/09/1986,181,77,Colombia,Sevilla FC,81,81,0,0,Right,2,2,2
190813,S. El Shaarawy,Stephan El Shaarawy,21,27/10/1992,178,72,Italy,Milan,80,87,0,0,Right,3,4,4
189513,Parejo,Daniel Parejo Muñoz,25,16/04/1989,180,75,Spain,Valencia CF,80,86,0,0,Right,2,4,3
190531,E. Mangala,Eliaquim Mangala,23,13/02/1991,187,84,France,Manchester City,80,86,0,0,Left,2,4,2
192505,R. Lukaku,Romelu Lukaku,21,13/05/1993,190,94,Belgium,Everton,80,86,0,0,Left,3,4,3
198329,Rodrigo,Rodrigo Moreno Machado,23,06/03/1991,180,70,Spain,Valencia CF,80,86,0,0,Left,2,3,4
199556,M. Verratti,Marco Verratti,21,05/11/1992,165,60,Italy,Paris Saint-Germain,80,86,0,0,Right,2,3,3
202652,R. Sterling,Raheem Sterling,19,08/12/1994,170,69,England,Liverpool,80,86,0,0,Right,3,3,4
204525,Iñigo Martínez,Íñigo Martínez Berridi,23,17/05/1991,181,77,Spain,Real Sociedad,80,86,0,0,Left,2,2,2
205525,Bernard,Bernard  Anício Caldeira Duarte,21,08/09/1992,164,57,Brazil,Shakhtar Donetsk,80,86,0,0,Right,2,4,4
